[0]:0 [1]:0 [2]:0 [3]:0
[0]:3800530558 [1]:1 [2]:2 [3]:146
[0]:3587205346 [1]:1 [2]:2 [3]:160
[0]:3370210211 [1]:1 [2]:2 [3]:188
[0]:4157107373 [1]:1 [2]:2 [3]:177
[0]:3942680233 [1]:1 [2]:2 [3]:36
[0]:3730855168 [1]:1 [2]:2 [3]:29
[0]:3515894161 [1]:1 [2]:2 [3]:73
[0]:3295055424 [1]:1 [2]:2 [3]:127
[0]:4070020022 [1]:1 [2]:2 [3]:191
[0]:3846938222 [1]:1 [2]:2 [3]:201
[0]:3599906451 [1]:1 [2]:2 [3]:93
[0]:3364131542 [1]:1 [2]:2 [3]:144
[0]:4159168868 [1]:1 [2]:2 [3]:104
[0]:3947030608 [1]:1 [2]:2 [3]:56
[0]:3738964311 [1]:1 [2]:2 [3]:118
[0]:3523331726 [1]:1 [2]:2 [3]:27
[0]:3311136893 [1]:1 [2]:2 [3]:32
[0]:4100149384 [1]:1 [2]:2 [3]:204
[0]:3883406283 [1]:1 [2]:2 [3]:182
[0]:3671156356 [1]:1 [2]:2 [3]:191
[0]:3451426399 [1]:1 [2]:2 [3]:164
[0]:4194075838 [1]:1 [2]:2 [3]:158
[0]:3975233906 [1]:1 [2]:2 [3]:142
[0]:3740586838 [1]:1 [2]:2 [3]:105
[0]:3523061778 [1]:1 [2]:2 [3]:62
[0]:3311182596 [1]:1 [2]:2 [3]:193
[0]:4108808602 [1]:1 [2]:2 [3]:125
[0]:3887085096 [1]:1 [2]:2 [3]:196
[0]:3679328661 [1]:1 [2]:2 [3]:108
[0]:3466999942 [1]:1 [2]:2 [3]:187
[0]:4251604898 [1]:1 [2]:2 [3]:201
[0]:4039011218 [1]:1 [2]:2 [3]:110
[0]:3811591674 [1]:1 [2]:2 [3]:199
[0]:3599608983 [1]:1 [2]:2 [3]:95
[0]:3385849444 [1]:1 [2]:2 [3]:53
[0]:4134782184 [1]:1 [2]:2 [3]:106
[0]:3864779299 [1]:1 [2]:2 [3]:109
[0]:3659203993 [1]:1 [2]:2 [3]:198
[0]:3451114632 [1]:1 [2]:2 [3]:135
[0]:4235262281 [1]:1 [2]:2 [3]:97
[0]:4019937887 [1]:1 [2]:2 [3]:75
[0]:3801032067 [1]:1 [2]:2 [3]:110
[0]:3585613184 [1]:1 [2]:2 [3]:191
[0]:3354983327 [1]:1 [2]:2 [3]:197
[0]:4143199781 [1]:1 [2]:2 [3]:51
[0]:3930993026 [1]:1 [2]:2 [3]:102
[0]:3714185317 [1]:1 [2]:2 [3]:156
[0]:3491024732 [1]:1 [2]:2 [3]:154
[0]:4279287798 [1]:1 [2]:2 [3]:35
[0]:4067270046 [1]:1 [2]:2 [3]:174
[0]:3859171191 [1]:1 [2]:2 [3]:95
[0]:3639217393 [1]:1 [2]:2 [3]:191
[0]:3427117866 [1]:1 [2]:2 [3]:96
[0]:4191016986 [1]:1 [2]:2 [3]:79
[0]:3983382464 [1]:1 [2]:2 [3]:172
[0]:3766245306 [1]:1 [2]:2 [3]:125
[0]:3540267367 [1]:1 [2]:2 [3]:198
[0]:3335284308 [1]:1 [2]:2 [3]:132
[0]:4126491477 [1]:1 [2]:2 [3]:86
[0]:3879947469 [1]:1 [2]:2 [3]:33
[0]:3671228313 [1]:1 [2]:2 [3]:69
[0]:3455357669 [1]:1 [2]:2 [3]:188
[0]:4217938683 [1]:1 [2]:2 [3]:109
[0]:4000133632 [1]:1 [2]:2 [3]:201
[0]:3794751113 [1]:1 [2]:2 [3]:202
[0]:3579508023 [1]:1 [2]:2 [3]:152
[0]:3371987479 [1]:1 [2]:2 [3]:36
[0]:4125025403 [1]:1 [2]:2 [3]:31
[0]:3907118614 [1]:1 [2]:2 [3]:35
[0]:3695119731 [1]:1 [2]:2 [3]:73
[0]:3483196222 [1]:1 [2]:2 [3]:102
[0]:4275289419 [1]:1 [2]:2 [3]:91
[0]:4067162287 [1]:1 [2]:2 [3]:35
[0]:3859357292 [1]:1 [2]:2 [3]:156
[0]:3643324926 [1]:1 [2]:2 [3]:196
[0]:3441593198 [1]:1 [2]:2 [3]:123
[0]:4235101882 [1]:1 [2]:2 [3]:141
[0]:4026964876 [1]:1 [2]:2 [3]:161
[0]:3811062351 [1]:1 [2]:2 [3]:142
[0]:3595273511 [1]:1 [2]:2 [3]:91
[0]:3376070206 [1]:1 [2]:2 [3]:191
[0]:4147444837 [1]:1 [2]:2 [3]:30
[0]:3892220263 [1]:1 [2]:2 [3]:198
[0]:3682807417 [1]:1 [2]:2 [3]:95
[0]:3475175272 [1]:1 [2]:2 [3]:96
[0]:4277603993 [1]:1 [2]:2 [3]:206
[0]:4036654446 [1]:1 [2]:2 [3]:164
[0]:3831162753 [1]:1 [2]:2 [3]:162
[0]:3619259979 [1]:1 [2]:2 [3]:194
[0]:3412708653 [1]:1 [2]:2 [3]:198
[0]:4195421233 [1]:1 [2]:2 [3]:82
